ChannelTitle,VideoTitle,Description,PublishedAt,CategoryId,ViewCount,LikeCount,CommentCount
런닝맨 - 스브스 공식 채널,지포,"석진이의 세포들 .zip 《런닝맨 / 예능맛ZIP / RunningMan 》

귀가 펄럭이다 못해 날아가겠어요

E. 583

#예능맛ZIP​ #런닝맨​ #Runningman",2021-12-15T09:00:01Z,24,973920,11346,1018
집공략,집 보러 오면 90%는 이렇게 행동 합니다. ㅋㅋㅋㅋㅋ (집 구할때 체크리스트),"집구할때 팁, 집구할 때 체크리스트를 알려드리겠습니다!

----------------------------


문의를 원하시면 아래를 클릭해주세요!
http://housestudio.kr/
촬영/문의 call : 010-5796-7542

인스타그램 ☞ https://www.instagram.com/92hjw
메일 ☞ munleehan333@naver.com",2021-12-08T10:30:02Z,22,1348587,30104,858
HOONION,"2021 쿠션 1위 추천템은?🥇 (+피부타입별 추천, 광고❌)  | Best Cushion foundation awards | 안보면 손해..","Instagram @hoon1on
https://www.instagram.com/hoon1on​​​
📧 tkdgns1843@naver.com


🏆 2021 상반기! 후니언픽 쿠션 BEST 4
👉🏻 https://youtu.be/9sV-YTn7HLA

🏆 2021 하반기! 후니언픽 쿠션 BEST 3
👉🏻 https://youtu.be/kT74RSLwos8



✎ 𝐩𝐫𝐨𝐝𝐮𝐜𝐭 

오하이오후 세미매트 쿠션 파운데이션
O HI O HOO SEMI MATTE CUSHION FOUNDATION
KRW 38,000
🎥 https://youtu.be/CGOBwmkU3Bc

삐아 네버 다이 쿠션
BBIA NEVER DIE CUSHION
KRW 21,500
🛒 https://bit.ly/3DTfxZo

에스쁘아 프로 테일러 비 파우더 쿠션
ESPOIR PRO TAILOR BE POWDER CUSHION
KRW 35,000
🎥 https://youtu.be/AfuE0hyHTNk

스킨푸드 소다 레이어 쿠션 
SKINFOOD SODA LAYER CUSHION
KRW 28,000
🎥 https://youtu.be/eHeRI1g1vfk

더샘 트루 핏 픽서 쿠션
THE SAEM TRUE FIT FIXER CUSHION 
KRW 20,000
🎥 https://youtu.be/CGOBwmkU3Bc

투쿨포스쿨 스튜디오 드땅뜨 픽싱 글로우 쿠션 
TCFS STUDIO DE TEINT FIXING GLOW CUSHION 
KRW 36,000
🎥 https://youtu.be/rtMKtVbP6-I

파넬 시카마누 세럼쿠션 SET
PARNELL CICAMANU SERUM CUSHION SET
KRW 48,000
🎥 https://youtu.be/XL8DKubXKkE

로즈프로젝트 커먼 스킨 쿠션
ROSEPROJECT COMMON SKIN CUSHION 
KRW 42,000
🎥 https://youtu.be/TUJmDpbmT8k

문샷 마이크로 카밍핏 쿠션
MOONSHOT MICRO CALMINGFIT CUSHION
KRW 46,000
🎥 https://youtu.be/_BSY4KOEdNQ

입큰 파운쿠션 실크 라이트 핏
IPKN FOUNCUSHION SILK LIGHT FIT 
KRW 32,000
🎥 https://youtu.be/eHeRI1g1vfk

이니스프리 노세범 파우더 쿠션
INNISFREE NO-SEBUM POWDER CUSHION
23,000won
🎥 https://youtu.be/ArETnjt4bS4

헤라 UV 미스트 쿠션 
HERA UV MIST CUSHION
KRW 60,000 
🎥 https://youtu.be/rtMKtVbP6-I

클리오 킬커버 파운웨어쿠션 올뉴
CLIO KILL COVER FOUNWEAR CUSHION ALL NEW
KRW 32,000
🎥 https://youtu.be/UOIZpHf-bms

에뛰드 더블래스팅 쿠션 매트
ETUDE DOUBLE LASTING CUSHION MATTE
KRW 33,000
🎥 https://youtu.be/nahb9p-HcqA

에스쁘아 프로 테일러 비 글로우 쿠션 올 뉴
ESPOIR PRO TAILOR BE GLOW CUSHION ALL NEW
https://bit.ly/3yiTsCg
🎥 https://youtu.be/QIRyR0RCms8

밀크터치 롱래스팅 매트 커버 쿠션
MILKTOUCH LONG LASTING MATT COVER CUSHION
35,000
🛒https://bit.ly/3oN1vUO

클리오 킬 커버 밀착 광채 쿠션
CLIO KILL COVER GLOW FITTING CUSHION (04 GINGER)
32,000won
🎥 https://youtu.be/S6UiPf3tDFo

퓌 쿠션 글래스 
FWEE CUSHION GLASS 
KRW 33,000
🎥 https://youtu.be/3HwrdREZNDE

어뮤즈 듀 젤리 비건 쿠션
AMUSE DEW JELLY VEGAN CUSHION 
KRW 34,000
🎥 https://youtu.be/3HwrdREZNDE

밀크터치 롱 래스팅 벨벳 광채 쿠션
MILKTOUCH LONG LASTING VELVET GLOW CUSHION
KRW 35,000
🎥 https://youtu.be/7cUu5P7R9LI

포렌코즈 베어 핏라스팅 쿠션 기획세트
FORENCOS BARE FITLASTING CUSHION
KRW 36,000
🎥 https://youtu.be/CGOBwmkU3Bc

설화수 퍼펙팅 쿠션 
SULWHASOO PERFECTING CUSHION 
75,000won
🎥 https://youtu.be/vaYbrEiAIxI

클리오 비건웨어 세라마이드 벨벳 쿠션 
CLIO VEGAN WEAR CERAMIDE VELVET CUSHION
KRW 45,000
🎥 https://youtu.be/nX-2HAYodp4

클리오 비건웨어 히알루론세럼 쿠션
CLIO VEGAN WEAR HYALURONIC SERUM CUSHION
KRW 45,000
🎥 https://youtu.be/nX-2HAYodp4

네이밍 레이어드 핏 쿠션 (23Y)
NAMING LAYERED FIT CUSHION
KRW 28,000
🎥 https://youtu.be/1u-OyM_glJI



Music
Tarious Hill  - Want To Be With You
https://thmatc.co/?l=928A1555

𝐂𝐨𝐩𝐲𝐫𝐢𝐠𝐡𝐭 ⓒ 𝐛𝐲 𝐇𝐎𝐎𝐍𝐈𝐎𝐍",2021-12-17T14:10:07Z,26,55321,1546,145
타임스낵,진짜 이렇게 방영됐다고..? 작가의 실수로 탄생한 만화 속 황당한 장면들 TOP5,"작가의 실수가 만들어낸 만화 속 어이없는 장면 TOP5를 선별해봤습니다. 맛있게 시청하세요!!♥

🎈 타임스낵 팬카페 구경하기 : https://cafe.naver.com/timesnackbox 🎈

🍪 우리 바삭이들 사랑해요 ㅎㅎ ♥
🍪 반죽이들도 구독해줄꺼죠? :) 
🍪 늘 재밌는 영상으로 보답할게요!!
🍪 타임스낵 부캐 유머스낵도 많이 사랑해주세요ㅎㅎ
🍪 제보와 문의는 [ timesnack24@gmail.com ] 으로 메일주세요!!

––––––––––––––––––––––––––––––––––––––––––––––––––
[Video Source Support]
Youtube channel ""freeticon"" : https://www.youtube.com/channel/UCR0g...​
––––––––––––––––––––––––––––––––––––––––––––––––––

#타임스낵#유머스낵#만화스낵",2021-12-18T06:21:41Z,24,448474,6751,669
JTBC Entertainment,[FULL끌립] 최연소 참가자가 부르는 깊은 가을 같은 노래(❁´◡`❁) 64호 가수의 〈그리움만 쌓이네〉♬ 싱어게인2(singagain2) | JTBC 211213 방송,"[FULL끌립] 최연소 참가자가 부르는 깊은 가을 같은 노래(❁´◡`❁) 64호 가수의 〈그리움만 쌓이네〉♬
#싱어게인2 #64호가수 #그리움만쌓이네",2021-12-13T13:48:13Z,10,1846272,22452,1583
odg,제가 스파이더맨을 어떻게 만나요? | ODG,"본 영상은 '소니픽쳐스코리아'에서 후원을 받아 제작되었습니다.
 
you were a kid once 
ODG STUDIO 
 
#스파이더맨_노웨이홈 #12월15일전세계최초개봉",2021-12-12T10:00:14Z,24,3553872,246525,7425
LunLuns,룬룬🗼어린이 맥주🍺 짱구 가루쿡 | 한펜 낫또 계란찜 도시락 | 야끼니꾸 먹방 | 일본 마트 장보는 도쿄맘 일상,"활하!!
방금 업로드 오류가 있어서 
다시 재업로드합니다아 ヽ(；▽；) 
불편함 드려 죄송해요..!

오늘 하루도 모두 고생 많으셨어요-!!
편안한밤 되세요 💚💚 

📝 인스타그램 
(미공개 사진, 영상과 예고편 공개)
https://www.instagram.com/lunluns_tokyolog

🎨 팬아트 인스타그램
https://www.instagram.com/romi_fanart

💌 메일
lunluns.daily@gmail.com  

#일본도시락 #일본브이로그 #집밥먹방 #도시락 #도쿄일상 #육아브이로그 #룬룬쓰도시락 #일본도시락 #주부브이로그 #도쿄생활 #일본생활 #일본맘",2021-12-16T13:00:13Z,22,420428,8566,384
예랑가랑,학교에 버려졌던 흰 천으로 귀신 소복을 만들어보자!,"15시간 정도 걸려 완성된 귀신 소복. 완성작을 보면 정말 뿌듯합니다!
.
.
.
.
.
.
공식블로그 https://blog.naver.com/yeneex2
개인메일 yeneex2@naver.com
광고문의 gainyerin@sandboxnetwork.net
인스타 예랑가랑-gainyerin
인스타 가인학생-gainjersoze
인스타 예린학생-yeneex2

#가인학생 #방예린학생 #예랑가랑


[Video Source Support]
Youtube channel ""freeticon"" : https://www.youtube.com/c/Freeticon",2021-12-19T09:00:04Z,22,50873,3109,178
1theK Originals - 원더케이 오리지널,무한도전 시즌2에도 하하 유니버스 계속 될까? 본인등판 촬영하다 똥쌀뻔한 하하 | 하하_공백 | HAHA_GAP | 본인등판 | Look Me Up,"무한도전 시즌2에도 하하 유니버스 계속 될까? 본인등판 촬영하다 똥쌀뻔한 하하 | 하하_공백 | HAHA_GAP | 본인등판 | Look Me Up

#HAHA#LookMeUp#GAP#New1theKOriginal#1theK#원더케이#원더케이오리지널

Will HAHA’s universe continue to exist even in Infinite Challenge Season? 
HAHA almost pooped while shooting Look Me Up.
But he was moved by the clean comments that are very rare. 
Now HAHA has no problem any more with double-clicking with an Apple mouse. 

----------------------------------------------------------------------------
K-POP Wonderland, 1theK

K-POP의 모든 즐거움이 여기에,
다양한 원더케이 오리지널 컨텐츠를 만나보세요!
----------------------------------------------------------------------------
K-POP Wonderland, 1theK

All the joys of K-pop here!
1theK has a wide variety of Original Content
----------------------------------------------------------------------------

▶1theK YT : https://www.youtube.com/1theK
▶1theK FB  : http://www.facebook.com/1theK
▶1theK TW : https://twitter.com/1theK
▶1theK Kakao : https://goo.gl/otRpZc
▶1theK TikTok : https://vt.tiktok.com/2mSMBS",2021-12-08T09:00:33Z,24,708473,10937,773
asmr soupe,"ASMR 수프가 엄선한 장작 타는 소리 3시간 + 타이머●자꾸만 듣고 싶은 캠프파이어, 모닥불 소리 | Campfire Crackling Fire Sounds 3hrs","수프 애청자, 구독자 여러분! 
기존 영상에 장작 타는 소리는
해리 포터나 반지의 제왕, 찰리와 초콜릿 공장 등 
다양한 곳에서 분위기를 연출하기 위해 활용을 했었는데요,

장작 타는 소리만 올린 적은 없는 것 같아
이번엔 모닥불 소리만 오롯이
3시간 동안 들려 드리는 영상을 제작해 보게 됐답니다.

장작 타는 소리가 다 비슷하지뭐!라 생각하지 않고
세심하게 소리를 선별하고 믹싱해
꽤 마음에 드는 결과물을 얻은 것 같아요.

공부하실 때도 사용하기 좋게
타이머도 처음으로 넣어 보았습니다.

볼륨은 각자의 취향과 목적에 맞게 조정한 뒤 들어 주세요!
볼륨의 크기에 따라 느낌이 완전 다르게 느껴지실 거예요.

잘 때 아주 작게 해서 들으니 잠이 솔솔 너무 잘 오구요
조금 크게 해서 책 읽을 때 들으니 집중이 정말 잘 되는
빗소리만큼 만능의 백색 소음이라는 생각이 들었답니다! :)

【추천】 겨울 산장의 포근한 화목 난로 3시간
장작 타는 소리 두 번째+타이머
Crackling Fireplace Sounds, Cozy Warm Cabin Ambience
https://youtu.be/BAF79RpHlbs

음악 있는 버전도 참 좋으니 꼭 한 번 들어봐 주세요! 
【어느 중세 기사의 야영지, 밤의 캠프파이어】
장작 타는 소리, 밤소리, 환경음과 음악
Medieval Knights' Camp Ambience and Music
https://youtu.be/YuMCd9iNSD0

가끔 수프 채널의 영상들이 
볼륨이 좀 크다는 의견을 아주 가끔 듣곤 하는데요,
볼륨을 크게 만드는 이유는
수프 채널의 경우 잘 때만 듣는 것이 아니고
카페 같은 시끄러운 장소에서도 들으시는 분들이
많기 때문이라 이해해 주시면 될 것 같습니다!
수면용으로 들어 주실 분들은
소리를 작게 조정해서 들어 주세요 여러분-♥


#장작타는소리 #모닥불 #캠프파이어


●8월 후원해 주신
홍숙진님, candytuft님, lio .H님
진심으로 감사드립니다!

가끔 들어가서 확인할 때마다 남겨져 있는 후원 내역과 응원의 메세지들 보면서 마음을 다잡곤 한답니다. 언제나 큰 힘이 돼 주시는 수프 채널 서포터 여러분들, 정말정말 고맙습니다! :)

---

따끈따끈한 방송을 빨리 보시려면
구독하기+알림 설정 꼭 해 주세요! : )

● ASMR 제작 의견을 남기시려면↓
https://goo.gl/forms/mFHBtIdphz1rAvdR2

정리하기 쉽고 어떤 내용이 많은지 통계 내기도 수월할 것 같아
앞으로 위 설문지를 통해서만 의견을 받도록 하겠습니다! :)
의견은 하나도 빼놓지 않고 꼼꼼하게 읽어 보고 있으니 걱정마세요.

● 수프 채널 후원하기
https://toon.at/donate/asmrsoupe (구글/유튜브 계정 이용)

여러분들이 저에게 보내 주신 후원금은 장비와 제작에 투자되며
더 좋은 퀄리티로 보답해 드리겠습니다. :)

● 인스타그램
http://instagram.com/asmrsoupe

● 수프의 일상, 브이로그
https://www.youtube.com/channel/UCObEKWaIitNu00ZXxJ9vYsA

● 이메일 : 편지/후기/제안/문의 등 자유롭게 보내주세요!
neverend@gmail.com

○ 제가 애니메이션이나 영화, 드라마를 테마로 제작하고 있는 ASMR 및 Ambient Sounds는 해당 작품의 영상, 효과음, 이미지를 쓰지 않습니다.(직접 제작하거나 저작권 문제가 없는 자료만을 사용합니다.) 특정 상황을 새로운 소리로 재현한 변용(Transformative use)이며 기존 작품과는 전혀 다른 감흥을 일으키는 창작물입니다. 이는 Fair Use(평론, 인용, 패러디, 코멘터리, 뉴스 리포팅 등)의 범주에 속하는 수준으로, 저작권에 위배 되지 않습니다.

○ ASMR은 Autonomous sensory meridian response (자율 감각 쾌감 반응)의 약자로,  누군가가 내 머리를 빗어줄 때, 귀를 파줄 때, 등에 글씨를 써줄 때 전해지는 노곤한 기분과 좋은 느낌을 말합니다. 보고 듣는 것만으로도 그런 기분이 전해지기 때문에 유튜브에서 꽤 비중있는 컨텐츠로 자리 잡고 있답니다. 영상을 보고 들으시는 여러분들의 마음이 편안해지도록, 저만의 방식으로 여러분들께 ASMR을 전달해드릴 수 있도록 연구하고 노력하고 있어요.",2020-08-20T13:35:08Z,10,2084249,22153,1035
